Particles,ll,Algorithm
10,768.3439099605463,Bootstrap
10,772.1713653717759,Bootstrap
10,709.5362172636254,Bootstrap
10,694.4409237926625,Bootstrap
10,713.404482670024,Bootstrap
10,628.4174904097928,Bootstrap
10,688.3510280346944,Bootstrap
10,748.686473353729,Bootstrap
10,724.4281487221959,Bootstrap
10,719.4609836678729,Bootstrap
10,755.9276422711979,Bootstrap
10,770.9091117981702,Bootstrap
10,745.5920145548273,Bootstrap
10,710.7631062293831,Bootstrap
10,749.9707410228355,Bootstrap
10,701.970273568109,Bootstrap
10,768.9142339070149,Bootstrap
10,740.4239343704186,Bootstrap
10,775.2855012659384,Bootstrap
10,740.4803945974273,Bootstrap
10,769.2546767082281,Bootstrap
10,712.7199352403543,Bootstrap
10,707.2913841802808,Bootstrap
10,725.622880203256,Bootstrap
10,699.7915813726116,Bootstrap
10,764.6540015125381,Bootstrap
10,769.8375296457032,Bootstrap
10,710.8082902295323,Bootstrap
10,688.8965959186237,Bootstrap
10,667.1992530379767,Bootstrap
10,689.8018024489572,Bootstrap
10,790.2746560708905,Bootstrap
10,825.4786068368279,Bootstrap
10,797.9327534590961,Bootstrap
10,756.1172932124457,Bootstrap
10,771.2961222034389,Bootstrap
10,758.5388883635559,Bootstrap
10,785.6993485595927,Bootstrap
10,683.0443269046468,Bootstrap
10,733.4601890786068,Bootstrap
10,800.6494847557309,Bootstrap
10,783.2997160188999,Bootstrap
10,678.311600163029,Bootstrap
10,719.2590366366167,Bootstrap
10,729.8713707691434,Bootstrap
10,739.4985702354808,Bootstrap
10,784.7234425415004,Bootstrap
10,695.6155625884033,Bootstrap
10,721.5475275432036,Bootstrap
10,747.6803152055255,Bootstrap
10,729.0809097046616,Bootstrap
10,663.5292039970709,Bootstrap
10,766.3266117157918,Bootstrap
10,703.1580507328475,Bootstrap
10,725.1574876963617,Bootstrap
10,763.5061008117353,Bootstrap
10,723.0391212042551,Bootstrap
10,696.283680914544,Bootstrap
10,691.0641358538567,Bootstrap
10,658.1300853010308,Bootstrap
10,656.2929780205199,Bootstrap
10,705.0170613872771,Bootstrap
10,817.7277268397102,Bootstrap
10,686.1851999325938,Bootstrap
10,735.8639216323983,Bootstrap
10,726.9274692416899,Bootstrap
10,787.1459432708622,Bootstrap
10,569.7427869507915,Bootstrap
10,730.1490178802326,Bootstrap
10,717.4427931199316,Bootstrap
10,755.5679665341905,Bootstrap
10,687.4672307469648,Bootstrap
10,730.2639021456364,Bootstrap
10,732.1389397024483,Bootstrap
10,724.3377123022246,Bootstrap
10,772.4032815773771,Bootstrap
10,786.4021869281357,Bootstrap
10,784.6328776881974,Bootstrap
10,774.1661082577516,Bootstrap
10,761.6504940912647,Bootstrap
10,786.0029783154383,Bootstrap
10,747.5414141853696,Bootstrap
10,657.820047750626,Bootstrap
10,804.2915443881135,Bootstrap
10,620.214479038428,Bootstrap
10,713.2476850031472,Bootstrap
10,760.3616651260373,Bootstrap
10,678.630512104176,Bootstrap
10,754.762397560897,Bootstrap
10,738.8478757712568,Bootstrap
10,671.352978075534,Bootstrap
10,740.0727344792979,Bootstrap
10,756.6507456931284,Bootstrap
10,686.0948661703402,Bootstrap
10,692.4182941899702,Bootstrap
10,700.6687800004394,Bootstrap
10,785.8466077066333,Bootstrap
10,734.2981486778376,Bootstrap
10,725.7089208483723,Bootstrap
10,786.0188592414106,Bootstrap
10,860.7399947904593,Twisted
10,863.0164169128242,Twisted
10,880.7937626329949,Twisted
10,869.9868048133326,Twisted
10,871.4662349067004,Twisted
10,855.3242694887794,Twisted
10,867.5808416875337,Twisted
10,865.8258561078569,Twisted
10,871.922943504093,Twisted
10,874.3245777620979,Twisted
10,859.4607633860771,Twisted
10,865.973756694126,Twisted
10,854.6080771343151,Twisted
10,855.8603536805131,Twisted
10,877.340086378372,Twisted
10,868.9596503472802,Twisted
10,868.3431877434235,Twisted
10,864.1999616923081,Twisted
10,841.64079559746,Twisted
10,861.3457628412431,Twisted
10,870.8681251797998,Twisted
10,864.849460912544,Twisted
10,874.1711792159829,Twisted
10,868.8773147982988,Twisted
10,874.3528201315925,Twisted
10,861.3301747523271,Twisted
10,855.1206194582713,Twisted
10,866.6956557456892,Twisted
10,852.4091520546868,Twisted
10,842.8574112938143,Twisted
10,872.5079092561151,Twisted
10,876.8985407916192,Twisted
10,852.5348656147214,Twisted
10,858.3767858588214,Twisted
10,875.1906905825341,Twisted
10,854.202748904733,Twisted
10,868.4149783669653,Twisted
10,872.7172092678676,Twisted
10,860.9953089227566,Twisted
10,856.4401051933123,Twisted
10,858.1099609833997,Twisted
10,865.9781607272669,Twisted
10,870.5671108867383,Twisted
10,868.1621383539818,Twisted
10,866.710682493985,Twisted
10,863.8131492756248,Twisted
10,843.2115348684945,Twisted
10,869.9004055494722,Twisted
10,873.0342272825987,Twisted
10,844.9391042836683,Twisted
10,884.7886813065785,Twisted
10,875.9780559560772,Twisted
10,879.3847794530474,Twisted
10,874.498723921397,Twisted
10,875.8484396961256,Twisted
10,864.1492213719195,Twisted
10,859.7146864906553,Twisted
10,863.3201284385624,Twisted
10,870.4440141314633,Twisted
10,877.2482954920225,Twisted
10,878.4754751988539,Twisted
10,863.7939631746661,Twisted
10,878.8950843256465,Twisted
10,877.5889769675357,Twisted
10,839.006280788013,Twisted
10,858.3399734217348,Twisted
10,862.5390216294593,Twisted
10,851.222785267026,Twisted
10,865.6918649300671,Twisted
10,846.9102059828786,Twisted
10,858.2087107932834,Twisted
10,877.9906919049805,Twisted
10,845.9697291515702,Twisted
10,877.3290968743563,Twisted
10,866.8811440064067,Twisted
10,859.5068863823955,Twisted
10,869.8049331817989,Twisted
10,849.0116661298044,Twisted
10,878.1158734627109,Twisted
10,862.9344971005013,Twisted
10,865.7443581008289,Twisted
10,885.9333236105663,Twisted
10,853.0904544737327,Twisted
10,870.6270015574064,Twisted
10,867.8374566171921,Twisted
10,861.2726917559253,Twisted
10,876.8122334223673,Twisted
10,880.2394947073319,Twisted
10,852.2882153978953,Twisted
10,856.8246915408953,Twisted
10,854.9156129440665,Twisted
10,871.9831770486971,Twisted
10,872.8183897557742,Twisted
10,877.1726964346153,Twisted
10,864.8335834449813,Twisted
10,872.6917040020924,Twisted
10,857.0679864314834,Twisted
10,868.3670453101107,Twisted
10,886.1300677169461,Twisted
10,862.2150513868272,Twisted
50,860.779653446841,Bootstrap
50,885.0201423559245,Bootstrap
50,862.5775397912315,Bootstrap
50,879.0840113631851,Bootstrap
50,873.0279035665422,Bootstrap
50,834.2312322987647,Bootstrap
50,874.1718878757343,Bootstrap
50,867.1670187899566,Bootstrap
50,850.7647446618337,Bootstrap
50,877.4766888721825,Bootstrap
50,859.4102856415415,Bootstrap
50,860.45741767164,Bootstrap
50,859.8932396300942,Bootstrap
50,857.4331621642398,Bootstrap
50,854.7070263447845,Bootstrap
50,844.2767187714154,Bootstrap
50,836.2979028798308,Bootstrap
50,858.048788557859,Bootstrap
50,884.0789683402735,Bootstrap
50,879.8484936449097,Bootstrap
50,859.7986250092578,Bootstrap
50,887.7311110121495,Bootstrap
50,864.3679933346721,Bootstrap
50,851.4250383584125,Bootstrap
50,871.0585147937093,Bootstrap
50,858.1815467483713,Bootstrap
50,863.8385185104055,Bootstrap
50,846.8675710601974,Bootstrap
50,861.4133415382793,Bootstrap
50,883.0867857036117,Bootstrap
50,854.475651419877,Bootstrap
50,827.2005609755225,Bootstrap
50,858.5190203967294,Bootstrap
50,866.5796041620038,Bootstrap
50,876.4986883561377,Bootstrap
50,856.619332696147,Bootstrap
50,855.9707201647827,Bootstrap
50,857.8243391538258,Bootstrap
50,852.5290900897144,Bootstrap
50,849.460454513486,Bootstrap
50,866.3865212416114,Bootstrap
50,865.4338712663014,Bootstrap
50,856.4045501736666,Bootstrap
50,859.2948169321376,Bootstrap
50,867.0399741961648,Bootstrap
50,867.8775443164958,Bootstrap
50,874.9336924958651,Bootstrap
50,867.490001647733,Bootstrap
50,880.8990402138508,Bootstrap
50,865.1529257006625,Bootstrap
50,873.1989362349775,Bootstrap
50,871.6139668110544,Bootstrap
50,878.3805785696582,Bootstrap
50,860.5791044726099,Bootstrap
50,853.8945467847068,Bootstrap
50,859.3256255342675,Bootstrap
50,865.1650406571283,Bootstrap
50,863.1287772059496,Bootstrap
50,851.3279612859185,Bootstrap
50,850.6881676250531,Bootstrap
50,864.4821997477351,Bootstrap
50,838.0418841225749,Bootstrap
50,862.1414283709424,Bootstrap
50,881.3590332147725,Bootstrap
50,864.1735462055934,Bootstrap
50,855.5489349576953,Bootstrap
50,865.4891306645047,Bootstrap
50,871.2695486833943,Bootstrap
50,863.4143757020754,Bootstrap
50,854.7355982511051,Bootstrap
50,857.4078902428687,Bootstrap
50,876.1455842470688,Bootstrap
50,870.1593988566885,Bootstrap
50,871.9966169594975,Bootstrap
50,858.8764507822756,Bootstrap
50,858.1895827730591,Bootstrap
50,847.0795034514163,Bootstrap
50,868.0493849160439,Bootstrap
50,863.2227475266867,Bootstrap
50,880.5368567431224,Bootstrap
50,872.247357631192,Bootstrap
50,881.4502431580071,Bootstrap
50,860.2278053570531,Bootstrap
50,882.1279199393751,Bootstrap
50,867.5124304391912,Bootstrap
50,874.6230799872835,Bootstrap
50,869.3827415262646,Bootstrap
50,855.0779228069109,Bootstrap
50,865.955022323695,Bootstrap
50,863.2396850760098,Bootstrap
50,858.0670505456775,Bootstrap
50,865.0654625299748,Bootstrap
50,848.0044573970363,Bootstrap
50,867.2631621514588,Bootstrap
50,859.5623428692998,Bootstrap
50,857.6346561579006,Bootstrap
50,865.218532855337,Bootstrap
50,870.8602994681949,Bootstrap
50,861.8682708887623,Bootstrap
50,874.9297823806957,Bootstrap
50,895.3996814309014,Twisted
50,903.5790742106564,Twisted
50,894.8168051278673,Twisted
50,892.3704484821249,Twisted
50,891.3242384659088,Twisted
50,894.6529822674811,Twisted
50,884.3609514386634,Twisted
50,895.3580856368463,Twisted
50,889.4206729739076,Twisted
50,898.7677545500209,Twisted
50,893.9208751201571,Twisted
50,897.5533287716165,Twisted
50,895.137649650952,Twisted
50,897.5387243842887,Twisted
50,897.4737570402567,Twisted
50,896.5591326538462,Twisted
50,898.799830459426,Twisted
50,893.0323012389136,Twisted
50,892.2208789678349,Twisted
50,893.7464293195973,Twisted
50,894.6441550706055,Twisted
50,893.131424077925,Twisted
50,895.8311582517814,Twisted
50,893.7096621462324,Twisted
50,894.7171440821037,Twisted
50,899.1519045538904,Twisted
50,896.6833459819592,Twisted
50,893.9981940491559,Twisted
50,893.0980884187921,Twisted
50,894.5271848828739,Twisted
50,893.8283823280423,Twisted
50,894.7702016751316,Twisted
50,903.2488719292529,Twisted
50,894.3386151537014,Twisted
50,900.3336951549716,Twisted
50,887.0300890360267,Twisted
50,891.2651921296134,Twisted
50,890.3810781475922,Twisted
50,891.0700976915494,Twisted
50,902.4978932115719,Twisted
50,894.4465485371619,Twisted
50,889.720605119326,Twisted
50,898.4404919614393,Twisted
50,897.9580898186526,Twisted
50,900.0314135116334,Twisted
50,892.7755792911873,Twisted
50,896.0613596988733,Twisted
50,895.3160842718086,Twisted
50,893.2289681290579,Twisted
50,899.9048751545533,Twisted
50,897.8647796765495,Twisted
50,894.1810503006186,Twisted
50,890.9129188158502,Twisted
50,888.4504930355581,Twisted
50,899.4634913165632,Twisted
50,899.0843845893894,Twisted
50,893.3410652864621,Twisted
50,894.2610826752345,Twisted
50,897.7924116284696,Twisted
50,899.4733717714793,Twisted
50,894.8833560130769,Twisted
50,894.3940423159539,Twisted
50,894.2562395161136,Twisted
50,893.7151328203659,Twisted
50,889.5494185837211,Twisted
50,897.2260926607798,Twisted
50,899.7001166034526,Twisted
50,896.4014105904887,Twisted
50,897.1797867783816,Twisted
50,892.1177517966868,Twisted
50,902.1293068655042,Twisted
50,893.1305304014,Twisted
50,896.0014816140919,Twisted
50,895.114307299738,Twisted
50,897.7232120026132,Twisted
50,894.6927790506444,Twisted
50,892.2537652821335,Twisted
50,892.621749850837,Twisted
50,896.1819561312656,Twisted
50,890.910785730297,Twisted
50,895.5836961441588,Twisted
50,894.4841263485584,Twisted
50,900.3732567616366,Twisted
50,900.2349813126707,Twisted
50,900.1597176896379,Twisted
50,896.3857948013847,Twisted
50,890.2100803255452,Twisted
50,891.7299680274137,Twisted
50,891.6316904959707,Twisted
50,899.1955828966643,Twisted
50,899.366987339388,Twisted
50,898.3911595469971,Twisted
50,891.7452096796441,Twisted
50,898.4148043926633,Twisted
50,892.386765485177,Twisted
50,893.6727050514032,Twisted
50,900.5276693993881,Twisted
50,895.7214146392253,Twisted
50,891.8612159991693,Twisted
50,892.832296906341,Twisted
100,890.5032932848368,Bootstrap
100,869.0670741071325,Bootstrap
100,885.8727969094123,Bootstrap
100,874.0845224255645,Bootstrap
100,890.9136811196372,Bootstrap
100,878.4262821717459,Bootstrap
100,876.4276737319196,Bootstrap
100,875.8358727976953,Bootstrap
100,884.3200410202014,Bootstrap
100,875.4900907297011,Bootstrap
100,885.7982590125845,Bootstrap
100,884.4518683875989,Bootstrap
100,860.1167460266954,Bootstrap
100,882.0647875513134,Bootstrap
100,869.9378003470597,Bootstrap
100,881.3003245097143,Bootstrap
100,883.3075826075933,Bootstrap
100,870.0333889892922,Bootstrap
100,880.493942776431,Bootstrap
100,870.7612288101182,Bootstrap
100,870.0843983563494,Bootstrap
100,883.9289704418587,Bootstrap
100,878.8199776234704,Bootstrap
100,858.2717312587288,Bootstrap
100,880.6016499793633,Bootstrap
100,878.48931219717,Bootstrap
100,870.3848737593585,Bootstrap
100,875.3786680185777,Bootstrap
100,882.0075713609717,Bootstrap
100,884.1773593319995,Bootstrap
100,883.176035378012,Bootstrap
100,897.8600588751877,Bootstrap
100,871.7308366172199,Bootstrap
100,874.7553693166001,Bootstrap
100,871.8316447837861,Bootstrap
100,877.1851350449244,Bootstrap
100,871.312686029162,Bootstrap
100,873.1896530685763,Bootstrap
100,868.77939826094,Bootstrap
100,883.6459766364299,Bootstrap
100,880.2450453943856,Bootstrap
100,881.9439308737924,Bootstrap
100,876.5824462986501,Bootstrap
100,879.8236927691977,Bootstrap
100,872.2965992790482,Bootstrap
100,878.0167211875597,Bootstrap
100,882.5140894735516,Bootstrap
100,885.283722144384,Bootstrap
100,882.5448259597349,Bootstrap
100,884.2287509744264,Bootstrap
100,868.9557547358248,Bootstrap
100,880.5745727456458,Bootstrap
100,883.3290631340051,Bootstrap
100,885.8151060813948,Bootstrap
100,880.3353445540464,Bootstrap
100,883.9188289329738,Bootstrap
100,881.9922199073919,Bootstrap
